C187544_54.0,P29450.1,91.758,182,15,0,873,328,1,182,1.49e-79,248,94.51,-3,0
C187544_54.0,XP_003624192.2,81.720,186,34,0,885,328,1,186,2.14e-74,234,89.78,-3,0
C187544_54.0,GAU32429.1,78.075,187,40,1,885,328,1,187,1.76e-73,232,86.63,-3,0
C187544_54.0,AES80410.1,82.418,182,32,0,873,328,1,182,1.08e-72,230,90.11,-3,0
C187544_54.0,RDY07823.1,73.016,189,49,1,888,328,35,223,2.48e-70,226,84.13,-3,0
C187544_54.0,AFK37418.1,89.744,117,12,0,678,328,63,179,1.29e-67,217,97.44,-3,0
C187544_54.0,AFK48258.1,89.744,117,12,0,678,328,63,179,2.22e-67,216,97.44,-3,0
C187544_54.0,XP_004492848.1,69.231,182,55,1,873,328,1,181,2.32e-67,216,79.12,-3,0
C187544_54.0,XP_027350848.1,86.325,117,16,0,678,328,72,188,9.49e-67,215,96.58,-3,0
C187544_54.0,XP_016194020.1,84.615,117,18,0,678,328,71,187,1.00e-66,215,96.58,-3,0
C187544_54.0,XP_015961984.1,84.615,117,18,0,678,328,71,187,1.13e-66,215,96.58,-3,0
C187544_54.0,TKY65341.1,86.325,117,16,0,678,328,70,186,3.67e-66,214,95.73,-3,0
C187544_54.0,XP_020220124.1,85.470,117,17,0,678,328,69,185,8.27e-66,213,95.73,-3,0
C187544_54.0,XP_028215707.1,84.615,117,18,0,678,328,63,179,1.69e-65,211,94.87,-3,0
C187544_54.0,NP_001236670.1,84.615,117,18,0,678,328,63,179,6.82e-65,210,94.87,-3,0
C187544_54.0,XP_028247744.1,83.761,117,19,0,678,328,65,181,1.02e-64,209,94.87,-3,0
C187544_54.0,XP_007139716.1,84.615,117,18,0,678,328,65,181,1.07e-64,209,94.87,-3,0
C187544_54.0,XP_014523208.1,83.761,117,19,0,678,328,65,181,1.87e-64,209,94.87,-3,0
C187544_54.0,QCE12468.1,83.761,117,19,0,678,328,65,181,2.42e-64,209,94.87,-3,0
C187544_54.0,XP_027925802.1,83.761,117,19,0,678,328,65,181,2.50e-64,209,94.87,-3,0
C187544_54.0,XP_019431639.1,82.906,117,20,0,678,328,69,185,2.73e-64,209,93.16,-3,0
C187544_54.0,XP_017415969.1,82.906,117,20,0,678,328,65,181,2.78e-64,209,94.87,-3,0
C187544_54.0,XP_019431216.1,84.483,116,18,0,678,331,66,181,3.10e-64,208,93.97,-3,0
C187544_54.0,KOM37009.1,82.906,117,20,0,678,328,72,188,3.10e-64,209,94.87,-3,0
C187544_54.0,OIW20744.1,82.906,117,20,0,678,328,14,130,5.15e-64,206,93.16,-3,0
C187544_54.0,RZB93746.1,83.761,117,19,0,678,328,120,236,6.35e-64,209,94.87,-3,0
C187544_54.0,NP_001235872.1,82.906,117,20,0,678,328,65,181,8.49e-64,207,94.02,-3,0
C187544_54.0,XP_008218461.1,82.051,117,21,0,678,328,73,189,9.46e-64,207,94.02,-3,0
C187544_54.0,KRH40285.1,82.906,117,20,0,678,328,65,181,9.56e-64,207,94.02,-3,0
C187544_54.0,XP_007206011.2,82.051,117,21,0,678,328,73,189,9.77e-64,207,94.02,-3,0
C187544_54.0,XP_021818367.1,82.051,117,21,0,678,328,73,189,1.08e-63,207,94.02,-3,0
C187544_54.0,VVA13128.1,82.051,117,21,0,678,328,73,189,1.24e-63,207,94.02,-3,0
C187544_54.0,XP_010111095.1,85.470,117,15,1,678,328,70,184,2.20e-63,206,94.87,-3,0
C187544_54.0,XP_024989218.1,83.761,117,19,0,678,328,70,186,4.69e-63,206,93.16,-3,0
C187544_54.0,XP_008443649.1,85.470,117,15,1,678,328,66,180,5.57e-63,205,94.02,-3,0
C187544_54.0,XP_023739091.1,80.342,117,23,0,678,328,66,182,8.78e-63,205,94.02,-3,0
C187544_54.0,PQQ09377.1,81.197,117,22,0,678,328,73,189,9.16e-63,205,93.16,-3,0
C187544_54.0,XP_022157062.1,83.761,117,17,1,678,328,66,180,1.27e-62,204,94.02,-3,0
C187544_54.0,PON89098.1,84.615,117,16,1,678,328,73,187,1.28e-62,204,93.16,-3,0
C187544_54.0,XP_012464337.1,82.051,117,19,1,678,328,75,189,1.47e-62,204,94.02,-3,0
C187544_54.0,KAB2629999.1,82.051,117,21,0,678,328,74,190,1.54e-62,204,94.02,-3,0
C187544_54.0,XP_030505644.1,84.615,117,16,1,678,328,62,176,1.95e-62,204,93.16,-3,0
C187544_54.0,KAD7477366.1,78.632,117,25,0,678,328,60,176,2.91e-62,203,95.73,-3,0
C187544_54.0,PON59126.1,84.615,117,16,1,678,328,79,193,3.07e-62,204,93.16,-3,0
C187544_54.0,XP_007206012.2,81.356,118,21,1,678,328,73,190,3.32e-62,204,93.22,-3,0
C187544_54.0,XP_018810316.1,80.342,117,23,0,678,328,60,176,3.50e-62,203,94.02,-3,0
C187544_54.0,XP_021818366.1,81.356,118,21,1,678,328,73,190,3.69e-62,203,93.22,-3,0
C187544_54.0,XP_008218460.1,81.356,118,21,1,678,328,73,190,3.86e-62,203,93.22,-3,0
C187544_54.0,XP_016705986.1,81.197,117,20,1,678,328,75,189,4.07e-62,203,94.02,-3,0
C187544_54.0,VVA13127.1,81.356,118,21,1,678,328,73,190,4.64e-62,203,93.22,-3,0
C187544_54.0,XP_009340388.1,81.197,117,22,0,678,328,70,186,4.84e-62,203,93.16,-3,0
C187544_54.0,KAE8681260.1,82.906,117,18,1,678,328,75,189,5.17e-62,203,92.31,-3,0
C187544_54.0,XP_009340351.1,81.197,117,22,0,678,328,70,186,5.28e-62,203,93.16,-3,0
C187544_54.0,XP_002514830.1,77.778,117,26,0,678,328,70,186,7.79e-62,202,94.02,-3,0
C187544_54.0,TQD94160.1,81.197,117,22,0,678,328,70,186,8.59e-62,202,93.16,-3,0
C187544_54.0,GAV74366.1,80.342,117,21,1,678,328,63,177,1.02e-61,202,95.73,-3,0
C187544_54.0,XP_028957351.1,81.197,117,22,0,678,328,70,186,1.04e-61,202,93.16,-3,0
C187544_54.0,TQD80470.1,80.342,117,23,0,678,328,73,189,1.08e-61,202,94.02,-3,0
C187544_54.0,XP_008366893.1,80.342,117,23,0,678,328,74,190,1.21e-61,202,94.02,-3,0
